SongID,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit,fullpct,subpct,p1,r1,w,off
(Can't Live Without Your) Love And AffectionNelson,No Explicit Content,236435,47,0.543,0.902,C#/Db,-6.344,major,0.0393,0.0354,0,0.0609,0.855,121.419,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
(Everything I Do) I Do It For YouBryan Adams,No Explicit Content,394133,65,0.519,0.372,C#/Db,-12.635,major,0.0284,0.0816,0.0000467,0.0652,0.298,131.227,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
(Hey Won't You Play) Another Somebody Done Somebody Wrong SongB.J. Thomas,No Explicit Content,206066,40,0.637,0.528,E,-11.287,major,0.0328,0.744,0,0.114,0.702,124.806,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
(I Can't Get No) SatisfactionThe Rolling Stones,No Explicit Content,222813,78,0.725,0.853,D,-7.842,major,0.0353,0.0348,0.127,0.196,0.904,136.282,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
(I Just) Died In Your ArmsCutting Crew,No Explicit Content,278626,70,0.632,0.727,B,-11.209,minor,0.0438,0.0119,0.0000764,0.0678,0.499,124.919,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
(I've Had) The Time Of My LifeBill Medley & Jennifer Warnes,No Explicit Content,289066,70,0.7,0.781,F#,-8.255,minor,0.0507,0.0874,0.00342,0.059,0.385,108.695,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
(Just Like) Starting OverJohn Lennon,No Explicit Content,236546,57,0.701,0.79,A,-6.16,major,0.0725,0.301,0.0000606,0.179,0.421,99.104,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
(Love Is) Thicker Than WaterAndy Gibb,No Explicit Content,255960,45,0.586,0.463,F#,-9.929,minor,0.0252,0.129,0.0000708,0.0757,0.551,96.479,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
"(Shake, Shake, Shake) Shake Your BootyKC And The Sunshine Band",No Explicit Content,186906,53,0.649,0.825,Bb,-12.243,minor,0.0335,0.00606,0.154,0.104,0.961,112.124,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
(Sittin' On) The Dock Of The BayMichael Bolton,No Explicit Content,231240,39,0.464,0.525,D,-13.806,major,0.0566,0.192,7.23E-6,0.268,0.565,178.352,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
(Sittin' On) The Dock Of The BayOtis Redding,No Explicit Content,163755,73,0.769,0.367,D,-11.226,major,0.0312,0.684,0.0000162,0.081,0.535,103.621,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
(The Lament Of The Cherokee) Indian ReservationDon Fardon,No Explicit Content,201200,14,0.805,0.473,Bb,-12.999,major,0.0507,0.24,0.00516,0.177,0.519,124.618,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
(They Long To Be) Close To YouCarpenters,No Explicit Content,276000,61,0.533,0.245,G#/Ab,-14.652,major,0.0326,0.707,0.0000421,0.122,0.236,89.328,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
(You're My) Soul And InspirationThe Righteous Brothers,No Explicit Content,201253,47,0.166,0.433,B,-12.048,major,0.0467,0.732,1.04E-6,0.227,0.277,187.437,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
...Baby One More TimeBritney Spears,No Explicit Content,211066,77,0.759,0.699,C,-5.745,minor,0.0307,0.202,0.000131,0.443,0.907,92.96,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
"1, 2, 3, 4Plain White T's",No Explicit Content,198360,62,0.458,0.55,D,-7.092,major,0.0262,0.566,0.0000139,0.108,0.56,90.56,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
1942 FlowsMeek Mill,Explicit Content,282666,61,0.63,0.628,D,-4.016,major,0.327,0.0515,0,0.091,0.266,121.307,5,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
2 OnTinashe Featuring ScHoolboy Q,Explicit Content,227000,69,0.742,0.595,A,-7.51,major,0.107,0.15,0,0.111,0.431,101.013,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
2 StepUnk,Explicit Content,322933,53,0.721,0.72,A,-6.145,minor,0.192,0.0564,0,0.173,0.643,76.976,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
21 Questions50 Cent Featuring Nate Dogg,Explicit Content,224426,70,0.547,0.807,F#,-4.083,minor,0.36,0.388,0.0000911,0.0436,0.919,79.823,3,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
25 To LifeEminem,Explicit Content,241586,67,0.701,0.931,G#/Ab,-0.945,minor,0.243,0.239,0,0.194,0.362,79.996,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
4th DimensionKIDS SEE GHOSTS Featuring Louis Prima,Explicit Content,153351,71,0.765,0.542,C#/Db,-6.755,major,0.39,0.278,0.0000187,0.609,0.734,171.945,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
50 Ways To Leave Your LoverPaul Simon,No Explicit Content,217346,70,0.815,0.372,G,-12.814,major,0.0752,0.166,0.000116,0.0767,0.293,101.684,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
7 RingsAriana Grande,Explicit Content,178626,91,0.778,0.317,C#/Db,-10.732,minor,0.334,0.592,0,0.0881,0.327,140.048,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
9 To 5Dolly Parton,No Explicit Content,162466,77,0.554,0.783,F#,-5.852,major,0.0457,0.416,1.54E-6,0.631,0.813,105.39,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
96 Tears? (Question Mark) & The Mysterians,No Explicit Content,176866,54,0.65,0.562,G,-5.965,major,0.0345,0.0624,0.0000321,0.076,0.882,123.674,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
A Boy Without A GirlFrankie Avalon,No Explicit Content,117093,12,0.474,0.22,E,-14.031,major,0.0262,0.749,6.08E-6,0.154,0.361,98.988,3,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
A Corner In The SunWalter Jackson,No Explicit Content,140800,1,0.417,0.469,G,-10.513,major,0.0342,0.74,0.0000159,0.181,0.513,79.141,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
A Fifth Of BeethovenWalter Murphy & The Big Apple Band,No Explicit Content,182533,50,0.688,0.506,C,-13.311,minor,0.0408,0.316,0.69,0.0611,0.784,108.753,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
A Fool Such As IBob Dylan,No Explicit Content,163053,22,0.563,0.857,G,-7.618,major,0.0604,0.165,0.0000183,0.134,0.687,118.29,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
A Hard Day's NightThe Beatles,No Explicit Content,154200,69,0.59,0.805,C,-6.481,major,0.0371,0.137,0,0.0996,0.797,138.514,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
A Horse With No NameAmerica,No Explicit Content,252239,78,0.654,0.506,B,-17.18,minor,0.0535,0.686,0.0155,0.155,0.831,123.179,4,1,4.1231865615,50.180691791,0.0412318656,0.5018069179,0.0821667939,3.1536655756
A Little Bitty TearWanda Jackson,No Explicit Content,126106,1,0.517,0.491,C,-7.732,major,0.0348,0.804,3.74E-6,0.139,0.891,132.095,4,0,4.1231865615,50.180691791,0.0412318656,0.5018069179,1.9244910635,3.1536655756
