SongID,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit
"""B"" GirlsYoung And Restless",No Explicit Content,242106,20,0.615,0.497,G,-11.913,major,0.439,0.016,0,0.312,0.769,193.762,3,0
"""Cherry Cherry"" from Hot August NightNeil Diamond",No Explicit Content,443320,16,0.34,0.948,A,-5.061,major,0.137,0.0941,0.000907,0.867,0.604,172.349,4,0
#1 Dee JayGoody Goody,No Explicit Content,206106,0,0.859,0.376,G,-16.542,minor,0.0439,0.0536,0.0963,0.0605,0.902,127.202,4,0
#1Nelly,Explicit Content,198760,50,0.792,0.6,G,-6.157,major,0.228,0.0236,0,0.419,0.463,89.985,4,0
#9 DreamJohn Lennon,No Explicit Content,286813,55,0.406,0.597,C,-11.745,major,0.0336,0.0744,0.0133,0.254,0.478,115.474,4,0
#BeautifulMariah Carey Featuring Miguel,No Explicit Content,199866,56,0.677,0.749,E,-5.405,major,0.0391,0.346,0,0.347,0.469,107.042,4,0
#SELFIEThe Chainsmokers,No Explicit Content,183750,65,0.807,0.916,C,-3.282,major,0.226,0.0134,0.0000122,0.0787,0.651,127.973,4,0
#thatPOWERwill.i.am Featuring Justin Bieber,No Explicit Content,279506,68,0.797,0.608,F#,-6.096,minor,0.0583,0.00112,0.0000766,0.0748,0.403,128,4,0
$ave Dat MoneyLil Dicky Featuring Fetty Wap & Rich Homie Quan,Explicit Content,290835,71,0.858,0.697,D,-5.361,major,0.23,0.114,0,0.224,0.364,98.012,4,0
'65 Love AffairPaul Davis,No Explicit Content,219813,40,0.647,0.686,D,-4.247,minor,0.0274,0.432,6.19E-6,0.133,0.952,155.697,4,0
'Til My Baby Comes HomeLuther Vandross,No Explicit Content,332226,29,0.804,0.714,B,-6.714,minor,0.183,0.0567,6.21E-6,0.0253,0.802,139.663,4,0
'Til Summer Comes AroundKeith Urban,No Explicit Content,331466,42,0.57,0.629,A,-7.608,minor,0.0331,0.593,0.000136,0.77,0.308,127.907,4,0
'Til You Do Me RightAfter 7,No Explicit Content,295000,42,0.612,0.542,F,-7.563,major,0.0264,0.0781,0,0.0763,0.433,76.744,4,0
